ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
10,10,8508,8010,160,44,91,213,14,10389,9369,251,183,274,375,33,10776,9614,352,102,218,403,22,10780,9616,353,102,214,396,19,10423,9445,171,170,334,315,28,10722,9608,243,183,282,390,1,6317,6016,98,22,59,138,9,7384,6810,125,133,58,218,12,8156,7407,223,57,136,269,17,8156,7407,223,15,81,79,8,17,326,7444,6909,96,80,169,191,0,7860,7335,130,55,100,220,0,3850,1298,2373,4205,996,2975,4292,1505,2607,4173,900,3273,4309,1546,2630,5166,1538,3522,5645,1640,3891,5671,1842,3829,5645,1647,3791,5577,1570,4007,5552,1507,3771,5575,1551,4024,4486,1311,2987
11,11,9070,8580,193,41,76,185,10,10373,9778,170,61,183,121,83,10723,9735,301,66,136,328,27,10732,9743,301,66,134,317,27,11114,10382,231,126,146,213,57,12060,11092,354,108,140,287,70,6874,6563,114,17,42,131,8,7898,7573,106,36,72,70,1,8182,7513,200,30,86,242,14,8182,7513,200,9,43,61,3,33,320,8330,7823,147,126,43,160,0,8946,8384,219,39,74,250,0,4700,1447,3042,5111,1111,3717,5241,1751,3319,5084,1000,4084,5254,1675,3452,6135,1597,4431,6647,1664,4875,6672,1838,4834,6641,1679,4780,6570,1602,4968,6526,1572,4698,6551,1581,4970,5424,1436,3798
12,12,9285,8322,228,55,44,655,10,9897,8743,377,105,83,696,15,10885,9338,345,72,123,921,21,10891,9342,345,69,122,908,19,10822,9105,582,126,71,1055,7,11065,9231,565,40,49,991,28,7602,6956,150,24,26,453,9,8311,7555,236,9,36,446,0,9072,7988,227,36,94,637,14,9072,7988,227,14,51,421,3,42,326,9058,7951,342,22,25,669,4,9286,8146,396,14,16,678,4,5678,2099,3313,5732,1717,3769,5887,2344,3367,5674,1493,4181,5950,2348,3467,6798,2359,4339,7314,2489,4706,7312,2658,4654,7288,2459,4597,7250,2432,4818,7193,2373,4536,7187,2355,4832,6130,2026,3934
13,13,9566,7032,311,53,95,2200,19,10063,6948,323,128,95,2691,62,10906,7660,438,111,100,2661,36,10920,7665,438,108,96,2568,34,10317,7468,269,181,139,2379,83,10632,7443,467,94,188,2356,85,7211,5637,164,35,56,1358,10,7566,5609,195,28,35,1668,15,8528,6345,305,71,68,1746,27,8528,6345,305,25,31,1064,9,22,727,7733,6001,162,37,50,1448,15,8076,6296,173,29,105,1479,20,5092,2394,2425,4745,1676,2779,4849,2287,2381,4693,1447,3246,4991,2429,2436,5589,2324,3156,6015,2400,3479,6012,2690,3322,5997,2372,3338,5946,2352,3594,5907,2496,3170,5884,2301,3583,4910,1961,2746
14,14,9926,9187,184,32,56,479,10,10116,9296,306,46,65,411,19,10730,9452,291,55,114,611,32,10735,9457,291,55,114,610,32,10155,9342,331,34,99,383,20,10608,9635,372,40,81,413,32,7930,7413,124,14,32,352,3,8258,7705,203,19,28,297,0,8866,7918,197,34,78,461,29,8866,7918,197,19,38,181,3,51,459,8311,7702,231,18,41,300,0,8757,8088,265,16,27,316,14,5197,1695,3193,5283,1052,3876,5402,2001,3130,5194,1010,4184,5516,1809,3498,6233,1572,4534,6744,1543,5077,6717,1865,4852,6717,1591,4810,6679,1574,5105,6633,1583,4759,6619,1517,5102,5931,1398,4116
15,15,10782,4008,383,91,43,6527,20,10936,3880,442,196,46,6642,93,10838,3602,405,77,54,6921,28,10862,3606,405,76,50,6804,28,11055,3886,497,192,33,6804,94,11291,4203,361,174,41,6745,99,7472,3191,195,46,29,4127,10,7513,3187,177,96,7,4056,6,7394,2855,242,32,41,4308,23,7394,2855,242,7,26,3820,10,19,415,7427,2846,268,87,8,4296,6,7812,3053,208,87,14,4454,5,4146,2624,1330,3509,1994,1281,3618,2460,1024,3542,2015,1527,3903,2695,1134,4158,2545,1524,4437,2583,1742,4464,2841,1623,4454,2579,1623,4422,2667,1755,4422,2753,1501,4410,2629,1781,2943,1507,1309
16,16,10545,3936,178,47,37,6489,6,10908,3859,440,72,33,6537,28,10926,3380,236,106,87,7296,39,10932,3382,236,105,87,7286,39,10991,3900,381,87,68,6615,47,11229,3769,457,48,78,6829,89,7293,3051,80,23,26,4154,5,7472,2992,153,59,25,4227,12,7668,2677,123,54,60,4808,23,7668,2677,123,10,37,4339,9,10,463,7600,3052,208,84,25,4247,12,7945,3005,421,39,23,4463,3,4054,2551,1365,4102,2278,1546,4220,2877,1228,4121,2350,1771,4042,2847,1108,4416,2763,1581,4587,2705,1775,4673,3069,1604,4645,2819,1629,4610,2856,1754,4599,2795,1620,4587,2836,1751,2603,1339,1164
17,17,10363,9777,199,26,64,314,6,9933,9209,257,87,40,376,3,10912,9787,250,85,114,538,29,10916,9790,250,83,114,535,29,9889,9054,218,100,37,471,7,10304,9384,246,100,37,445,8,8139,7720,125,11,31,255,4,7769,7299,138,53,32,252,0,8646,7854,153,40,64,412,16,8646,7854,153,14,33,144,3,45,400,7778,7280,114,45,21,314,0,8136,7645,109,52,25,301,0,5476,2009,3265,5548,1315,3842,5717,2484,3054,5539,1142,4397,5635,2221,3243,6172,1840,4214,6560,1746,4679,6575,2051,4524,6558,1881,4421,6496,1836,4660,6422,1684,4406,6454,1733,4721,5215,839,3442
18,18,12098,11124,225,79,63,657,14,11549,10418,325,54,68,777,4,11526,10100,281,91,104,879,29,10933,9750,272,80,104,765,29,11218,10179,195,62,78,774,5,11548,10116,378,113,87,880,20,9418,8741,141,40,37,478,7,8972,8234,222,37,42,451,0,9030,7987,177,64,68,664,16,9030,7987,177,34,48,456,7,24,297,8766,8033,178,50,28,492,0,8910,8013,265,97,32,519,0,5579,2028,3313,5227,1106,3794,5371,2206,3032,5183,958,4225,5054,1842,3037,5416,1462,3869,5717,1383,4213,5734,1700,4034,5713,1407,4084,5661,1457,4204,5598,1274,4069,5623,1340,4283,4514,634,3171
19,19,11306,8721,576,299,174,1787,32,10529,7929,871,270,158,1546,83,10840,7798,626,367,256,1901,49,10918,7846,627,329,226,1751,35,10668,7975,816,344,212,1446,98,11120,8031,887,514,193,1466,60,8729,7023,357,166,129,1154,23,7997,6393,540,174,82,788,4,8447,6381,399,211,185,1278,33,8447,6381,399,124,105,830,14,44,550,8082,6174,577,320,93,899,10,8400,6390,608,307,129,902,0,3983,2443,1425,4545,1799,2365,4690,2718,1807,4560,1507,3053,4468,2517,1790,4811,2276,2385,5019,2212,2636,5018,2537,2481,4992,2281,2481,4909,2334,2575,4848,2082,2500,4906,2196,2710,3524,956,1673
