ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_14_AG_Total,E_14_AG_Dem,E_14_AG_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1A,43550,40949,902,384,634,774,19,43227,39826,1203,658,764,904,29,42570,38247,1382,583,794,1371,77,42994,39387,1294,652,798,921,18,42497,38404,1377,710,795,906,0,32925,31453,487,171,378,466,9,32720,30980,571,249,391,534,20,32733,30050,822,329,491,846,48,32733,30050,822,188,399,291,18,96,869,32540,30760,638,231,393,518,0,32325,30265,734,276,456,583,0,22162,10294,10987,20383,8988,11395,15942,7788,7854,15980,7257,8115,15032,7002,7485,21721,6051,14008,18320,8288,9407,18196,7047,10371,18223,6619,10945,17899,6309,10785,20254,6900,12559,23450,7057,15864,23115,7501,14018,19916,6330,12931,17955,4912,12377,17700,5006,12686,17642,4775,11989,17688,5329,12349,17857,4369,12385
2,1B,43679,39737,2114,469,359,1190,31,43087,37897,2565,1135,477,1262,44,42605,36810,2406,1290,430,1631,77,42958,37413,2636,1220,483,1345,23,42591,36657,2672,1284,444,1415,91,33231,30943,1181,243,232,696,15,32114,29330,1294,515,223,760,8,32267,28748,1397,753,275,1018,41,32267,28748,1397,634,144,402,0,78,864,32118,29115,1524,509,206,767,4,31808,28720,1550,402,274,832,8,21833,11433,9566,19989,9726,10263,13583,7249,6125,13604,6829,6324,12913,6609,5893,20483,6723,12112,16680,8448,7721,16544,7285,8533,16529,6837,9073,16235,6494,8933,18678,7323,10546,21772,7747,13587,21328,8060,11668,18083,6683,10778,15436,4952,9919,15210,4965,10235,15118,4746,9657,15116,5226,9878,15351,4435,9990
3,2A,41758,31379,618,537,463,9117,24,43074,31220,1030,1112,473,10044,39,42871,30297,1067,951,573,10141,47,43396,31680,878,1021,602,9778,54,43399,31188,1015,1030,530,10023,54,31469,25196,329,241,304,5511,16,32080,25338,476,321,137,5783,14,32340,24491,685,585,382,6137,34,32340,24491,685,410,221,5172,4,78,1279,32138,25515,439,303,222,5713,10,32258,25239,519,356,247,5868,45,21034,11276,9200,20071,10974,9097,13971,7680,6051,13852,7276,6124,13131,6852,5624,20065,7895,10237,16557,8839,7028,16528,7938,7671,16491,8030,7754,16373,7391,7975,18832,8566,9159,22308,10380,11394,21941,9029,10598,18763,8382,9443,16358,7193,8473,16271,7150,9097,16120,6486,8626,16167,7617,8533,16312,7297,8989
4,2B,41349,29235,656,253,206,11449,22,42231,29129,1030,540,446,11772,60,42590,28720,681,419,261,12569,72,42509,28664,1327,571,448,11905,64,42072,28421,1455,508,561,11580,85,30693,23380,266,85,115,6984,9,31204,23588,493,228,247,6708,31,31919,23420,364,209,147,7642,34,31919,23420,364,54,89,6163,7,112,1710,31593,23621,634,241,215,6840,23,31327,23401,698,222,211,6769,20,20947,10355,9969,20060,10066,9994,14658,7481,6958,14636,7049,7091,13994,6930,6475,20162,7024,11686,17716,8505,8523,17624,7440,9230,17637,7545,9387,17462,6852,9576,19542,7828,10822,22996,8967,13588,22673,8321,12612,19760,7612,11438,17947,6504,10764,17819,6368,11437,17708,5927,10855,17713,6883,10824,17879,6515,11348
5,3A,43805,40792,396,284,223,2176,41,42746,39085,563,361,205,2609,39,42417,37934,611,524,328,2667,66,42580,37809,677,347,264,2351,17,42014,37859,810,457,322,2251,36,35849,33894,222,157,150,1456,19,35407,33011,340,213,95,1751,20,35341,32203,372,360,220,1856,34,35341,32203,372,220,149,1152,6,100,1139,35605,33287,413,232,103,1581,8,35026,32668,453,257,118,1513,8,26571,14868,10774,24674,13943,10731,19976,12068,7554,19833,11631,7577,19181,11746,6596,24706,10364,12348,21908,12506,8654,21826,11284,9547,21814,11274,9728,21564,10394,10070,23736,11452,11237,27037,12476,14003,26480,11967,12784,23808,11290,11662,21774,10370,10560,21662,9996,11654,21522,9554,10789,21623,10643,10963,21836,10007,11806
6,3B,40848,38946,445,464,353,692,31,41965,39529,742,559,353,807,29,42337,39034,533,543,516,1166,47,41635,39032,814,492,492,755,14,42181,39225,545,674,596,945,19,31793,30458,293,331,219,524,18,32573,31156,385,314,181,508,16,33397,31127,340,352,329,833,28,33397,31127,340,228,206,284,6,74,1132,32164,30658,395,373,238,460,5,32860,31208,324,380,307,630,0,24158,14678,8957,23832,14505,9327,17027,10504,6315,16906,10012,6478,16332,10121,5724,24419,11691,10793,21905,13654,7743,21795,12219,8805,21812,12143,9015,21523,11295,9281,23835,12706,10179,27193,14087,12588,26712,13410,11713,23733,12524,10400,21432,11482,9235,21304,10914,10366,21029,10245,9669,21175,11535,9626,21471,11083,10359
7,4A,37321,32932,1523,1071,995,938,47,39952,33800,1972,2378,1090,849,69,42472,33710,2272,3542,1076,1855,72,41351,34622,1969,2652,1253,1006,133,42400,34720,2117,3550,1115,1361,145,29544,26685,914,632,781,571,28,29914,26845,1017,1012,431,602,50,32226,26776,1347,2022,788,1160,49,32226,26776,1347,1764,583,533,13,66,1144,30740,27405,969,1056,528,662,100,31560,27577,1159,1418,589,698,110,18100,10629,7102,17600,10117,7483,10427,6351,3889,10288,5928,4015,9688,5395,3853,18156,8957,7315,14841,9663,4543,14747,8691,5217,14748,8426,5552,14542,8022,5557,16824,9405,6305,19623,11270,7827,19179,10099,6992,16305,9188,6206,13234,7638,5031,13104,7567,5527,13022,7090,5136,12998,7706,5276,13157,7023,5317
8,4B,39035,36517,740,318,301,1251,34,42045,38183,1229,581,406,1726,57,42530,37941,1111,655,406,2236,76,41108,37287,1282,583,338,1496,38,42247,38364,1305,547,516,1388,54,29127,27716,375,119,181,765,21,31049,28958,704,169,220,963,13,31956,29288,598,333,243,1284,46,31956,29288,598,224,145,513,10,72,1106,30737,28764,812,262,177,813,9,31448,29414,778,275,249,784,4,20805,10340,9834,20710,9400,11310,13434,6942,6288,13490,6250,6806,12727,6099,6180,21021,7136,12239,18046,9302,8079,17903,7913,9123,17927,7449,9765,17644,7242,9459,20196,8177,11056,23688,9089,14063,23200,8834,12541,19946,7846,11328,17307,6417,10269,17179,6359,10807,16670,5831,9987,17004,6531,10453,17246,5751,10497
9,5A,40992,39184,472,251,173,963,23,41980,39443,846,382,308,1069,33,42553,39113,764,428,302,1591,54,42363,39195,878,406,359,1297,50,42814,38992,1041,636,405,1319,50,31642,30595,258,101,95,605,13,32389,31049,314,176,156,703,12,32998,30910,411,207,204,989,26,32998,30910,411,90,120,351,7,63,1046,32669,31130,314,197,197,781,8,33208,31428,429,254,158,861,0,23022,9334,13011,21978,8558,13420,16504,7097,9165,16663,6619,9545,15986,6941,8561,22634,6084,15080,19708,8036,11055,19661,6716,12097,19683,6754,12238,19432,6049,12422,21933,7005,14069,25693,7741,17459,25358,7541,16235,22357,6917,14746,21074,6270,14069,20960,6096,14851,20826,5763,14132,20852,6783,14062,20967,5772,14495
10,5B,41991,39424,1532,423,249,451,61,41421,38330,1903,581,237,529,10,42849,38447,2549,636,319,777,106,41610,37834,1977,590,239,678,7,42891,38424,2237,530,226,493,60,31815,30414,814,185,133,279,42,30856,29653,574,244,126,298,4,32343,29639,1520,366,189,506,65,32343,29639,1520,152,122,117,51,69,673,30973,29593,671,239,130,392,4,31880,30472,715,259,141,364,48,21341,8822,11788,19823,7873,11950,14659,6481,7932,14786,5891,8367,14135,6651,7093,20822,4908,14625,16831,6589,9799,16778,5326,10820,16786,5301,10965,16636,4620,11227,19313,5476,13141,23131,5929,16784,22816,5918,15291,19938,5409,13950,18687,4700,13290,18580,4581,13987,18469,4312,13255,18469,5362,13095,18567,4178,13486
11,6A,41193,39519,373,283,226,855,22,42186,39994,635,363,255,1087,13,42298,39257,457,414,339,1341,39,42967,40408,588,421,191,1113,47,43404,39965,643,582,316,1214,34,32861,31904,216,110,131,512,9,33959,32563,405,138,149,742,0,34125,32248,264,211,191,812,24,34125,32248,264,117,112,303,3,100,978,34592,33199,372,176,147,751,35,34966,33389,408,276,185,705,14,24038,11405,11971,23314,10935,12379,18471,9325,8920,18397,8924,9024,17794,9395,7803,24090,8204,14192,21525,10487,10370,21434,8833,11649,21451,8891,11809,21201,7739,12272,23373,9077,13324,26474,9802,16200,26180,9444,15186,23588,9008,13817,22041,8364,12967,21924,7832,14082,21747,7502,13181,21548,8756,12784,22028,7961,14057
12,6B,39303,37453,481,468,297,667,26,39939,37730,484,727,388,624,3,42265,38737,702,700,497,1167,50,40466,38126,661,757,370,549,3,42225,39509,826,653,367,590,12,29665,28591,273,217,194,407,20,30492,29308,284,297,230,337,0,32621,30422,437,334,333,757,28,32621,30422,437,209,216,288,12,102,935,30966,29671,380,317,230,336,0,32602,31149,487,290,198,436,0,21240,9676,11063,20473,8985,11488,15452,7062,8138,15343,6598,8288,14825,6927,7284,21817,6844,13268,19039,8721,9574,18952,7198,10750,18971,7364,10766,18797,6495,11131,21123,7720,12320,24553,8784,15238,24168,8206,14003,21350,7757,12735,19549,7116,11730,19392,6762,12617,19218,6255,11839,18793,7447,11335,19486,6871,12603
13,7A,43346,41316,403,373,203,1142,25,43069,39533,759,831,499,1570,80,42472,38682,619,654,304,1818,69,42628,39060,647,758,641,1400,108,42575,39061,569,886,295,1257,52,34211,32985,233,155,123,745,14,33315,31336,536,291,247,895,4,33798,31391,361,336,207,1164,43,33798,31391,361,211,116,388,10,71,1250,33530,31861,405,236,274,745,19,34309,32630,346,363,194,771,10,24278,14511,8967,22572,13696,8876,17432,11085,6096,17362,10715,6148,16917,10885,5369,22772,9328,11563,20237,11629,7775,20141,10271,8665,20132,10314,8872,19893,9316,9218,21886,10220,10564,24697,10529,13630,24280,10217,12250,21661,9745,11049,19357,8520,9959,19216,8181,11020,19040,7835,9974,19052,8914,10126,19339,8170,11164
14,7B,43314,41164,379,523,277,1073,41,42718,40724,307,571,304,940,27,42258,38730,568,769,339,1608,31,42834,40352,263,606,357,1084,26,42684,40179,316,546,367,1143,33,34546,33251,213,250,173,689,16,34594,33291,133,287,179,672,21,33902,31650,323,430,204,1049,17,33902,31650,323,289,124,451,3,79,983,34501,33019,121,313,228,809,16,33983,32547,143,262,224,871,8,25576,16573,8155,24158,15580,8578,18670,11996,6348,18762,11952,6285,18124,12235,5215,23705,10617,11158,20852,12711,7422,20767,11470,8236,20771,11549,8409,20542,10515,8793,22511,11401,10048,25207,11722,12866,24724,11288,11605,22199,10839,10477,19932,9500,9503,19841,9345,10468,19641,8837,9494,19746,10062,9667,19954,8919,11005
15,8A,41286,36030,688,1866,653,2332,34,40308,34841,812,1980,895,2068,56,42553,34806,1004,2679,825,3195,83,40527,34865,1030,1958,721,2293,20,40796,34971,1200,1780,772,2230,29,33077,29788,390,955,484,1536,28,31893,28754,351,1064,408,1208,0,34860,29698,623,1520,630,2181,53,34860,29698,623,1148,437,1124,13,98,1719,32129,28725,471,1101,328,1452,0,33175,29616,699,980,380,1430,0,23224,16350,6320,21429,15449,5980,13666,9793,3630,13386,9315,3703,12882,9008,3300,20968,12427,6557,18670,13605,4253,18614,12600,4901,18623,12663,5041,18439,11880,5254,20371,13345,5713,23156,15548,6964,22635,13920,6303,19845,13096,5677,16988,11541,4611,16906,11534,5340,16743,10572,4791,16851,11959,4879,17005,11704,5277
16,8B,43410,39685,605,1132,1055,1119,43,43716,39291,1123,1342,1124,1017,64,42602,36796,1035,1787,1290,1424,81,43680,39029,1087,1536,1150,969,93,44417,39179,1195,1673,1352,982,84,36008,33496,404,625,823,730,29,35999,33210,648,696,729,735,14,35093,30702,792,1396,961,1029,57,35093,30702,792,1113,748,385,12,120,1221,36011,33149,595,708,776,688,14,36336,33216,591,858,789,742,4,27912,18656,8712,26308,17646,8662,17360,11866,5222,16992,11329,5272,16140,10643,4822,26658,15999,7910,23727,17493,5375,23625,16194,6417,23631,16359,6447,23279,15275,6778,24842,16716,6791,26256,18340,7262,25757,16759,7022,23859,16276,6454,20601,14622,5199,20478,14473,5971,20187,13439,5555,20351,14971,5355,20616,14795,5771
17,9A,41723,38939,1365,519,353,615,55,41222,37579,1648,998,457,659,24,42345,37424,1912,1128,533,1215,70,41409,37335,1799,1189,611,794,27,42853,38286,1902,1154,517,934,68,32311,30706,774,250,216,380,34,31506,29700,733,424,192,451,0,32761,29809,1168,576,333,715,47,32761,29809,1168,450,218,267,16,51,782,31770,29699,799,592,242,492,0,32880,30551,922,468,293,613,15,23248,10522,11898,21541,9245,12296,15579,7484,7835,15620,6928,8230,14698,6561,7685,22152,6901,13565,18716,9022,9096,18620,7739,10091,18598,7301,10604,18361,6806,10670,20742,7779,12099,23986,8466,15048,23545,8398,13471,20630,7477,12434,18609,6306,11561,18423,6195,12203,18316,5801,11551,18311,6526,11769,18535,5508,11791
18,9B,40182,39031,475,201,151,375,17,41316,39697,656,350,166,448,10,42467,39843,957,337,250,687,30,41421,39700,767,273,137,498,7,42065,39650,906,363,248,490,11,31678,31032,269,64,89,245,7,32310,31519,309,169,117,282,4,33460,31879,559,164,143,427,19,33460,31879,559,96,82,108,5,77,654,32405,31566,394,96,76,304,0,33123,32026,497,197,145,322,0,24072,10045,13251,22801,8941,13860,16166,7062,8882,16337,6379,9471,15443,6493,8555,24231,6503,16072,20479,8774,11193,20401,7338,12379,20416,7019,12825,20186,6401,12965,23053,7466,14792,27278,8222,18567,26880,8157,17147,23567,7343,15549,22005,6389,14961,21889,6223,15653,21744,5921,14992,21733,6805,14909,21898,5757,15038
19,10A,43009,39834,518,336,224,2229,43,42525,39099,825,585,275,1861,16,42950,38645,708,514,298,2500,43,42261,38808,721,567,344,1893,14,42747,38956,786,506,378,1996,11,33432,31617,289,137,126,1298,23,33411,31519,348,271,192,1115,10,33940,31287,410,223,187,1566,23,33940,31287,410,112,110,1061,4,66,890,33259,31446,347,173,172,1162,10,33634,31706,394,193,155,1232,12,23220,10377,12158,22101,9913,12188,16983,8480,8223,16954,7596,8780,16231,8506,7152,22992,6449,15104,19410,8595,10210,19346,6960,11497,19359,6933,11738,19128,6018,12018,21637,7113,13640,25350,7630,17306,24851,7350,15608,21978,6960,14327,20249,6057,13502,20128,5841,14275,19973,5483,13465,19760,6674,13073,20148,5695,13966
20,10B,40763,39675,383,196,175,344,26,41991,39963,876,314,393,579,17,42869,40617,649,318,305,662,26,42233,40238,720,335,378,597,24,43262,41001,815,445,350,499,34,29710,29096,212,91,96,223,10,30506,29504,338,144,201,360,4,31640,30264,389,155,180,422,24,31640,30264,389,69,102,101,5,64,646,30814,29677,347,149,241,449,10,31805,30496,445,293,240,390,14,20888,7977,12150,20166,7432,12734,14608,6314,7984,14630,5528,8528,13918,6529,6941,21899,4387,16124,17633,6454,10595,17542,5141,11596,17589,5151,11828,17354,4382,11986,20479,5161,14465,24836,5373,18950,24336,5495,17123,21116,4998,15404,19439,4307,14454,19319,4120,15185,19137,3869,14358,19173,4867,14297,19320,4099,14956
21,11A,41773,37115,561,732,301,3247,34,42082,36973,732,1003,368,3297,22,42546,36247,716,931,407,4002,83,42154,36981,737,1355,384,2968,27,42519,37081,793,1080,425,3355,30,31928,28829,331,571,176,2066,17,32415,29062,424,663,150,2139,4,33113,28840,445,676,270,2607,59,33113,28840,445,587,146,1794,12,71,1218,32451,29141,384,931,170,1880,4,32946,29434,424,776,233,2137,8,21657,13452,7647,20886,13211,7675,15777,10072,5436,15614,9514,5587,15087,9543,4915,21291,9815,9612,19167,11833,6729,19084,10615,7559,19052,10504,7796,18817,9675,8055,20793,10763,9037,23883,11743,11585,23397,11158,10545,20681,10436,9426,18625,9196,8611,18525,8921,9580,18317,8353,8809,18436,9500,8925,18657,8928,9708
22,11B,43326,39498,950,1224,332,1464,33,42635,38256,1096,1523,469,1501,45,42604,37256,1012,1335,596,2096,72,42676,38197,1133,1587,459,1436,25,42903,38180,1192,1514,574,1477,10,33598,30787,655,1017,199,1003,20,33869,30730,764,1117,220,961,8,33850,30055,648,1057,361,1413,43,33850,30055,648,932,258,825,1,73,1058,34123,31055,773,1131,211,895,14,34113,31088,781,1040,238,913,10,21289,9780,10769,20017,9358,10659,14657,7423,6974,14657,6821,7316,14156,7754,5914,20302,6230,12513,16915,7960,8323,16854,6522,9403,16861,6593,9478,16648,5789,9698,19335,6764,11561,23348,7378,15474,22892,6887,13981,19718,6652,12270,17900,5864,11308,17797,5589,12194,17590,5092,11300,17654,6316,11326,17846,5523,12311
23,12A,42453,40573,974,334,267,384,18,42297,39199,1591,695,421,477,130,42355,38314,2202,558,387,783,167,42158,38843,1722,637,430,516,152,42353,38411,1985,815,322,635,149,32943,31765,587,166,191,270,10,32172,30789,569,268,172,368,14,32575,30114,1344,287,232,522,91,32575,30114,1344,162,163,143,75,60,514,31972,30459,669,229,230,430,19,31900,30240,689,294,244,508,14,23709,11510,11293,22390,10609,11781,16996,9087,7638,17012,8212,8214,16190,8782,6900,22572,7261,13651,18852,9462,8850,18776,7656,10294,18781,7579,10616,18511,6665,10877,20750,7713,12273,23597,7724,15430,23275,7809,14177,20633,7277,12759,18778,6102,12143,18609,5926,12669,18524,5592,12188,18569,6790,11762,18690,5403,12384
24,12B,39954,37826,1334,332,266,227,24,41400,38675,1619,454,334,391,15,42869,38944,2297,559,371,559,40,41814,38849,1711,335,444,401,185,43278,39871,1790,393,446,463,183,30751,29579,745,140,148,145,14,31482,30194,610,316,132,251,0,33214,30823,1334,280,241,389,30,33214,30823,1334,174,166,77,12,40,588,32029,30506,671,203,266,254,115,33429,31683,891,241,188,299,120,21691,9141,12051,21175,8473,12702,15064,6674,8183,15128,5891,8768,14398,6573,7471,22434,6078,14850,18372,8317,9574,18326,6479,11169,18331,6509,11311,18128,5640,11629,20972,6958,13221,24780,7744,16548,24403,7544,15417,21430,6932,13853,19810,6131,13131,19663,5867,13779,19482,5436,13327,19567,6805,12746,19702,5368,13444
25,13A,42613,40432,1094,347,559,199,42,44784,42181,1272,755,483,164,102,42773,39493,1382,845,424,435,22,44982,42212,1225,727,425,139,80,42562,39956,994,870,330,275,34,32666,31310,636,200,391,120,25,34035,32907,448,381,163,109,0,33141,31078,847,472,318,269,10,33141,31078,847,349,239,52,0,70,506,33932,32767,484,362,177,88,0,32522,31368,505,299,175,161,18,23548,9866,13047,22826,9086,13740,14979,6695,8039,15045,5938,8626,14217,6609,7134,23976,6452,15882,20193,8930,10659,20109,7131,12180,20111,7085,12402,19889,6203,12688,22348,7204,14245,25423,7440,17481,25022,7249,16160,22543,6928,14873,20746,5993,14159,20631,5571,15045,20338,5239,14160,20468,6666,13788,20613,5249,14712
26,13B,38582,36654,536,533,667,220,36,41509,38280,899,917,1366,155,4,42977,38543,1111,1229,1146,692,50,42554,38759,1109,805,1470,489,6,42973,38930,1071,900,1506,530,47,28020,26985,272,241,384,144,24,30268,28754,422,392,640,76,0,31699,29047,663,637,715,434,25,31699,29047,663,470,579,97,7,68,768,30812,29212,439,392,658,141,0,31013,29252,383,523,660,208,19,19849,8651,10749,20276,8464,11812,13216,5965,7074,13303,5460,7383,12551,5973,6178,21641,6466,13521,18551,8599,9328,18460,7097,10481,18499,7121,10711,18219,6264,10903,20780,7569,12169,24309,8853,14871,23840,8157,13660,20826,7554,12399,18532,6825,11097,18407,6441,11946,18175,5963,11217,18289,7259,11013,18455,6287,11999
27,14A,40241,34168,1084,3082,1672,399,51,43341,32032,1473,7544,1978,383,135,42844,28514,2028,9765,1802,765,74,43913,31268,1504,8714,2185,392,108,44505,29937,2124,10235,1942,377,75,32446,28505,645,1796,1333,243,31,30843,26595,574,2280,1082,194,0,32637,23857,1334,5387,1495,544,48,32637,23857,1334,4997,1317,116,21,97,898,31405,26384,698,2975,1125,191,0,31829,25597,939,4033,1084,154,7,20678,10704,9472,19501,10004,9497,11688,6056,5430,11485,5564,5556,10838,5552,4767,19581,8100,9536,15682,8719,6212,15635,7684,7046,15649,7760,7190,15488,7053,7365,17565,8378,8092,19865,9784,9516,19416,8891,8734,17208,8264,8051,14504,7094,6847,14468,7017,7439,14109,6218,7029,14243,7351,6875,14384,6735,7621
28,14B,40710,34229,965,3535,1551,594,36,41068,32370,1323,5309,1377,835,7,42432,30457,1808,7547,1631,1007,97,40502,30620,1438,6660,1152,834,1,40897,29891,1631,7268,1702,985,2,32656,28353,607,2183,1153,422,28,31541,26870,746,2634,758,544,0,33308,25905,1193,4267,1202,694,60,33308,25905,1193,3832,954,184,24,126,1090,30950,26126,857,2952,525,503,0,30678,25273,874,3219,774,370,0,20270,10416,9288,19193,10136,9057,12766,7048,5509,12625,6435,5759,12018,6627,4820,19702,8166,9630,16231,9158,6322,16202,8099,7165,16192,8122,7319,16034,7337,7499,18282,8850,8245,21129,10661,9793,20758,9678,8940,17845,8729,8156,14835,7369,6813,14783,7359,7409,14577,6648,6956,14618,7866,6738,14780,7159,7590
29,15A,44432,40028,2069,858,890,724,40,43151,37511,2412,1257,1312,776,50,42462,35973,2448,1417,1527,1068,49,43003,37159,2493,1286,1445,749,53,42566,36468,2650,1325,1557,894,18,33972,31350,1170,482,593,434,19,31773,29371,893,500,479,507,8,32259,28334,1427,817,948,664,21,32259,28334,1427,660,856,305,3,47,627,31584,29133,878,539,532,526,8,31327,28533,998,598,716,512,0,23245,11361,10985,21723,10189,11534,15239,7712,7312,15364,7061,7764,14743,7799,6577,21838,6870,13159,18087,9196,8341,18021,7349,9861,18041,7460,9986,17830,6472,10413,20047,7562,11665,22990,8024,14506,22702,7841,13407,19805,7148,12024,17702,5826,11341,17583,5789,11787,17527,5364,11399,17496,6565,10924,17624,5122,11589
30,15B,43029,39837,1205,256,780,1082,21,41533,37852,1648,439,755,996,118,42391,38101,1679,446,737,1461,46,41515,37732,1687,479,756,1036,117,42518,38312,1861,548,768,1105,113,33110,31425,617,115,395,609,11,31755,29788,785,203,323,593,0,32665,30169,934,212,410,861,19,32665,30169,934,122,338,527,2,38,535,31725,29703,791,208,367,600,0,32437,30190,879,254,406,630,4,22301,9405,12075,21736,8887,12849,14824,6851,7713,14986,5987,8342,14189,6660,7181,22000,5858,14192,18578,8585,9379,18473,6695,10855,18545,7354,10563,18255,5786,11354,20511,6955,12631,23607,7385,15715,23327,7392,14495,20492,6658,13130,18633,5857,12303,18472,5531,12928,18360,4994,12575,18377,6246,12122,18596,4936,12982
31,16A,43731,40546,2297,276,214,349,122,42181,37801,2921,425,340,532,228,42682,37353,3355,472,313,754,330,42149,37669,2903,465,352,564,209,42955,37888,3193,527,433,557,246,33278,31554,1226,118,126,208,66,31416,29687,1033,198,169,331,14,32739,29558,1937,239,189,498,197,32739,29558,1937,138,107,122,178,73,626,31434,29542,1113,239,202,311,10,31994,29874,1355,213,252,305,4,22818,10978,10849,21196,9978,11218,15594,8191,7154,15779,7379,7736,15045,7941,6674,21577,6248,13640,18152,9196,8368,18061,7116,10018,18073,7091,10252,17823,6064,10690,20036,7129,12055,23200,7239,15461,22813,7361,13881,19861,6717,12493,17844,5619,11611,17741,5428,12303,17632,5059,11652,17702,6414,11277,17758,4802,11984
32,16B,41052,34812,4689,1125,278,296,34,41466,32923,5177,2587,541,397,2,42613,32242,5885,2897,720,697,71,41607,32669,5353,2723,584,386,2,42533,32763,5699,3022,667,395,0,31143,27617,2628,621,162,162,20,29386,26320,1962,772,160,154,0,31965,25882,3517,1529,442,459,33,31965,25882,3517,1413,387,82,17,67,600,29706,26175,2220,977,179,176,0,30164,26408,2161,1115,269,212,0,21309,9766,11033,20464,9468,10996,15795,7924,7668,15831,7285,8096,15141,7804,6937,21096,7043,12378,18119,9087,8349,18037,7298,9804,18063,7266,10130,17792,6349,10452,19925,7611,11391,22659,8203,13973,22282,7867,12963,19794,7394,11669,17671,6251,10902,17568,6020,11542,17443,5517,11131,17375,6813,10557,17577,5392,11232
