ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
40,40,82479,69419,2560,6390,3685,884,92,88840,72712,3370,7493,4391,1242,240,90211,70342,4124,8544,5143,1912,101,89677,72348,4143,7892,4570,988,271,90699,71900,4418,9225,4311,1390,215,62920,54417,1587,4077,2449,588,50,65316,56400,1845,4343,1839,622,25,69763,56331,2691,5596,3566,1359,66,69763,56331,2691,4701,3105,169,11,251,2504,65267,56250,2099,4550,1668,543,30,66485,56489,2288,5257,1849,630,45,45481,24576,20198,41973,21949,20024,46757,24050,19801,43054,23864,18429,43099,24207,17746,42290,21558,18860,47185,25733,20084,54255,31474,21797,53862,29191,23720
41,41,92012,61410,5658,22552,2050,1670,145,93999,59363,7239,24935,3030,1606,21,91872,54660,7955,24603,2865,2649,138,93622,58204,6570,25520,3024,1723,21,90480,56127,6583,24357,2983,1501,121,72864,52866,3604,14287,1626,1158,100,72853,51561,3436,15495,1606,799,0,72876,47033,5390,16347,2385,1946,89,72876,47033,5390,14294,1849,251,26,495,3538,72360,50719,3108,16206,1533,821,0,69479,48912,3442,15023,1193,693,0,43561,31923,10853,34241,25818,8423,37990,26503,8843,34090,24870,8124,34189,25488,7365,34226,24087,8194,37005,26909,8644,41167,30920,9357,40814,29569,10069
42,42,86838,79400,2110,3408,1163,1091,72,91136,81655,2631,4552,1422,1654,325,91192,78690,3106,4675,1543,2457,70,91850,81692,3314,3642,1630,1529,117,91398,79428,4287,3672,2055,1376,112,65602,61138,1142,1965,758,730,39,68776,63419,1345,2378,697,799,80,70454,62218,1892,2849,1043,1768,52,70454,62218,1892,2205,780,276,17,205,2861,70243,64398,1938,2026,821,876,70,70787,63790,2489,2364,1288,793,90,46885,23659,22326,49506,23686,25820,46341,18821,24534,41626,19184,21465,41714,19752,20605,40234,16701,21420,45985,20277,24211,53522,24249,28141,53062,22864,29037
43,43,85496,79389,3598,1038,633,1071,29,90136,82313,4381,2274,646,1169,36,92518,81814,5105,1615,964,2290,87,90684,82917,4307,1978,818,1175,39,92500,83073,4681,2042,1244,1105,22,63197,59679,2029,514,354,712,16,67803,63690,2236,823,264,744,4,70016,63251,3207,778,566,1588,56,70016,63251,3207,453,359,337,12,181,2216,68625,64502,2170,755,381,786,4,70074,65310,2594,932,533,729,0,43383,17051,25334,40541,14598,25943,43701,11628,29395,38674,12377,25476,38756,12834,24593,37999,10651,25375,43807,12901,29599,52582,15420,36228,52206,14743,36578
44,44,91337,66923,4938,16487,2279,1514,171,89609,63721,5706,16288,3384,1613,58,89974,60643,5998,17132,3907,2574,123,89479,63221,5803,15920,3702,1649,163,90080,63031,6119,15990,3741,2157,159,68807,52998,2845,10738,1571,1027,104,66080,51218,2616,10301,1011,908,15,68782,49162,3804,11287,2630,1845,75,68782,49162,3804,9865,2330,322,13,272,3014,65983,50435,2851,10244,1277,891,0,66442,50261,3176,10358,1470,1005,8,41229,23895,16580,36483,20393,16090,36972,17151,17802,31119,15583,14637,31120,16123,13807,30517,14257,14449,35170,17116,16860,41213,20111,20379,40750,19489,20185
45,45,91197,85962,2102,1548,717,1027,37,90605,83783,2318,2339,1182,1018,89,90612,81911,2795,2164,879,2330,60,90681,83540,2350,2689,1108,978,87,90344,82243,2858,2933,1164,967,46,69836,66599,1270,855,448,734,23,69992,65937,1438,1311,623,628,0,71054,65367,1759,1200,561,1668,44,71054,65367,1759,809,383,291,9,182,2254,69978,65991,1358,1392,604,651,0,69673,65425,1683,1500,477,645,0,46728,20538,25168,43494,17513,25981,44527,13364,28584,38800,14130,23790,38823,14454,22988,37960,12186,23757,43514,14618,27555,51318,16840,33561,50676,16985,32585
46,46,89745,71130,3410,13653,1001,1153,69,89065,69215,4062,13932,1431,1147,147,91041,68652,4202,14219,1606,2308,68,89481,69449,4067,14070,1224,1102,69,91663,70556,4006,14369,1538,1081,107,68995,56388,2090,9349,632,806,40,68965,55914,2454,9272,492,652,22,71551,56102,2534,9790,1129,1730,55,71551,56102,2534,8709,901,263,10,179,2853,69424,56406,2478,9282,482,673,22,71974,58228,2509,9729,634,661,8,38664,21973,15954,35538,19413,16125,35758,16536,17162,31233,15822,14614,31270,16354,13887,30638,14669,14346,35067,17306,16616,41264,20213,20279,40724,20246,19426
47,47,87749,77103,2556,3912,3588,914,74,91621,79099,2821,3988,5038,1030,61,91302,75752,3811,4313,5048,1858,123,90236,77076,3082,4014,5106,1145,45,90534,76149,3236,3977,5332,1069,83,68505,61302,1610,2619,2504,628,48,70652,63247,1634,2458,2703,537,40,73378,62228,2520,3022,3810,1367,99,73378,62228,2520,2250,3057,121,38,245,2919,69866,62487,1773,2297,2643,673,0,70312,62406,1882,2532,2749,638,0,52029,32459,18696,50665,30263,20402,52408,30544,19149,48233,30367,17180,48281,30754,16452,47358,28744,16921,52459,32301,18933,59957,37239,21878,59374,36245,22186
48,48,88941,78248,1862,2452,5709,797,86,92440,79605,2644,2511,6910,820,132,92373,77005,2774,2484,7497,1821,79,92565,79726,2537,2225,7193,692,77,92206,78553,2583,2434,6875,872,104,67975,60338,1200,1593,4346,526,50,69911,63217,1650,1785,2621,494,45,74656,62938,1912,1766,5998,1393,48,74656,62938,1912,1334,5414,173,12,267,2606,70722,64378,1611,1614,2590,431,24,70786,64266,1673,1724,2423,552,20,50616,26872,22954,48006,23646,24360,51819,24131,24912,48417,25179,22540,48616,25771,21671,47493,23562,22102,52912,26773,24856,61044,31763,28426,60518,30187,29471
49,49,81470,71871,2560,3915,2553,717,78,87032,74038,2870,5570,4030,839,118,93247,75830,3758,6326,4825,1699,122,87398,73827,2659,5419,4557,754,113,92442,76850,3926,4825,5094,824,162,62182,55624,1652,2734,1744,491,49,65540,58173,1478,3969,1439,568,0,74267,61476,2508,4791,3561,1269,76,74267,61476,2508,4321,3075,185,29,256,2417,65974,58710,1301,3959,1564,549,0,69969,62075,2020,3529,1759,509,0,44125,20601,22758,43581,18914,24667,46895,18511,25760,42733,19180,22901,42925,19853,21982,41732,17641,22428,47469,20755,25501,55740,25241,29629,55118,24048,30284
