ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
26,26,14440,11818,570,299,406,1454,138,17511,13808,693,501,621,1926,178,18807,13919,1010,482,683,2546,229,18280,13759,1009,584,914,2332,178,19112,14299,1219,576,922,2276,100,9939,8436,305,146,232,829,61,12117,9888,544,288,198,1137,9,12876,10045,555,280,392,1446,105,12876,10045,555,156,213,717,48,61,1081,12089,9613,580,311,173,1219,0,12797,10217,657,329,310,1171,14,5431,1060,4255,7079,1125,5266,6904,447,2694,6358,1393,4801,7634,1553,5716,8758,1792,6664,8665,1805,6378
27,27,15517,12751,613,286,401,1542,92,18612,14706,1098,331,715,1971,98,18799,13765,1049,517,661,2713,226,19544,15560,1099,342,936,1845,128,18709,14470,955,244,942,2244,151,10907,9297,338,153,251,874,51,13381,11003,641,128,370,1197,15,13567,10491,586,258,406,1650,133,13567,10491,586,164,250,828,78,104,1066,14346,11936,657,102,459,1065,10,13571,10944,584,112,452,1376,4,6381,1265,5008,7071,1182,5181,6875,469,2614,6334,1406,4745,7560,1566,5618,8612,1776,6516,8514,1827,6233
28,28,16318,13474,672,305,416,1608,97,20759,16335,1295,394,612,2358,249,18793,14329,1011,459,636,2354,183,21175,16663,1317,460,712,2272,254,21073,16321,1511,401,878,2223,493,11368,9692,406,164,255,909,53,14745,12178,631,228,203,1318,6,13583,10657,634,276,414,1524,97,13583,10657,634,137,220,631,41,81,1182,15119,12454,673,250,266,1287,4,15121,12306,841,204,320,1267,66,7438,1550,5764,8147,1474,5814,7991,484,3252,7246,1736,5304,8433,1900,6093,9392,2211,6800,9291,2141,6652
29,29,16010,13108,606,246,419,1754,103,18000,14481,832,493,489,1882,90,18780,14560,907,329,545,2229,133,18009,14229,870,477,474,2184,117,19320,14686,1040,443,288,2535,167,11685,9817,384,145,254,1122,69,13284,11166,440,220,190,1211,1,13593,10904,502,192,349,1442,73,13593,10904,502,103,226,731,34,110,983,13259,11008,498,232,140,1336,0,14444,11720,653,193,109,1646,34,8254,2218,5835,8220,1798,5467,8018,652,3199,7655,2355,5012,9015,2439,6095,10240,2684,7106,10157,2705,6974
30,30,15791,13419,447,162,264,1569,70,16330,13272,594,286,327,1843,134,18736,14467,639,351,487,2565,239,16388,13421,480,335,383,1834,115,17094,13462,587,455,663,1850,103,11895,10381,251,93,163,1004,47,12530,10417,360,168,105,1333,43,14973,11815,412,245,309,1976,139,14973,11815,412,181,198,1266,89,80,932,12818,10759,272,196,124,1337,37,13425,11096,355,247,255,1343,74,7974,2288,5470,8387,1924,5639,8160,687,3070,7712,2118,5335,8895,2456,6026,10030,2896,6845,9885,2842,6502
31,31,18809,11419,1293,1920,1024,3497,166,17905,10467,1361,1926,1234,3444,88,18294,9326,1499,1932,1320,4398,301,17692,10403,1721,1829,1315,2843,63,18676,10132,2007,1814,1186,3935,307,14596,9394,866,1273,755,2421,98,13698,8685,990,946,585,2382,4,14336,7863,1029,1293,1016,3079,198,14336,7863,1029,984,776,2074,142,121,1347,13644,8590,1219,969,759,2082,4,14337,8576,1318,1203,638,2554,40,8509,3361,4943,7092,2749,3396,6841,866,3140,5996,2961,2744,7047,3238,3379,7818,3705,3769,7678,3517,3726
32,32,17245,11624,1779,1945,774,1363,304,17888,11716,1872,2263,835,1076,585,18522,10942,2476,2020,1131,1874,331,17768,11408,1774,2346,682,1041,730,17641,11470,1703,2042,1031,1337,278,12005,8601,1025,1083,477,829,178,12632,8716,1353,1268,367,619,160,13792,8462,1774,1396,784,1195,196,13792,8462,1774,1081,589,624,145,76,1041,12408,8657,1338,1235,187,594,190,12303,8648,1154,1042,463,753,52,5714,1810,3826,5308,1483,3138,4835,580,2283,3610,1280,2153,4908,1596,2955,5927,1972,3599,5456,1762,3318
33,33,18777,15259,854,727,669,1424,87,19833,14505,1757,1098,609,2406,56,18500,13376,1118,752,900,2200,194,20482,15022,1695,1187,728,2511,72,19955,14445,1723,1205,815,2326,186,13263,11084,518,430,404,854,50,14287,11110,927,797,264,1128,0,13457,10118,736,492,603,1324,123,13457,10118,736,324,357,629,48,148,1097,14828,11426,1042,772,236,1252,0,14165,10741,1072,756,283,1156,98,8537,1735,6674,7995,1311,5675,7829,450,3525,6303,1401,4630,7793,1645,5658,8824,2000,6395,8725,1908,6307
34,34,19067,15883,713,539,572,1493,86,20811,15874,1674,529,1131,2055,115,18382,13866,1139,575,768,1824,115,19967,15025,1724,325,886,2355,250,18019,13860,1242,682,763,1632,215,14199,12212,443,312,349,926,49,15104,12111,1056,339,514,981,4,13963,10878,726,386,527,1205,82,13963,10878,726,270,321,555,39,127,1047,14867,11982,995,217,343,1091,4,13595,11290,842,325,217,707,0,9457,3181,6086,9082,2773,5169,8917,784,4027,7757,3126,4294,9144,3398,5238,10169,3826,5873,10079,3782,5861
35,35,19745,14656,909,769,1046,2610,131,18972,13509,1111,703,1084,2567,130,18367,12747,973,745,988,2920,128,18876,12345,1090,1003,1536,2633,104,18583,12116,1360,970,1321,2445,238,15463,12009,569,480,738,1729,68,14360,10796,814,444,498,1696,35,14343,10407,673,512,708,1955,76,14343,10407,673,339,479,1209,33,80,1123,14081,9845,725,658,929,1819,30,14027,9849,910,522,711,1888,70,9581,4428,4922,9314,4118,3953,9152,1218,3971,8254,4502,3395,9368,4801,4060,10158,5321,4397,10135,5197,4581
