ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
27,27,68564,57181,5356,2704,2340,1406,98,72333,59897,6488,2741,2541,1330,45,72864,55439,8270,3783,2848,2874,157,71055,57970,6368,3682,2091,1453,48,71948,57333,7546,4044,1895,1551,87,50305,43517,3065,1461,1528,864,64,53272,46418,3089,1446,1575,699,0,55552,44228,5089,2233,1962,2021,101,55552,44228,5089,1598,1595,432,33,161,2416,51841,44705,3271,1674,1344,669,0,52965,44883,4149,1816,1266,563,0,31548,11298,19740,31289,9900,20529,32470,10055,19571,31754,8906,21081,28650,12665,13307,28161,10173,17988,32684,11795,19261,37568,14385,22368,37345,14546,21262
28,28,70067,49833,9641,5664,3631,2373,135,69537,48155,11330,5854,3285,2138,133,72346,45456,12912,6857,4070,4179,192,71179,47383,13157,6389,3989,2100,177,73665,46693,14249,7413,4323,2715,109,50118,38455,5250,2908,2408,1458,78,48568,38065,4720,2907,1611,1063,15,53046,36040,7706,3818,2919,2859,124,53046,36040,7706,2954,2533,650,56,194,2913,49909,37408,5753,3505,1873,951,15,50817,36961,6277,3996,2068,992,9,22691,9701,12466,21215,8578,11894,21754,7462,12159,21133,7236,12284,18090,8228,7685,17782,7619,10163,21401,8508,11532,25050,10153,14180,24771,10327,12874
29,29,74757,28589,16708,25461,3744,2246,188,71881,25942,17494,24017,3978,2253,166,75016,27448,19586,22999,3695,3404,296,71701,26550,17637,22873,4094,2336,208,71820,28319,18757,20264,3686,2922,169,54016,23806,9690,17158,2811,1436,105,45683,21446,6436,15573,1243,941,24,56462,23507,12430,16232,2952,2399,178,56462,23507,12430,14611,2506,522,90,225,2571,46450,22380,6738,14928,1425,993,40,48017,24442,7913,13009,1458,1081,8,23336,16340,6558,20208,13902,5752,19650,12622,5192,18822,11418,6234,17313,12505,3446,16998,11939,5059,19501,13281,5298,22625,15903,6173,22358,15433,5840
30,30,67711,49678,4379,6833,6104,1303,171,72244,49955,6198,7604,7662,1365,282,72079,47230,6764,8275,7707,2799,222,71553,49748,6715,6852,7359,1412,292,72003,48524,7187,6857,7879,2063,338,50415,38673,2672,4261,4184,862,110,52127,39096,2686,4531,4731,869,65,54847,37880,4214,5405,5559,1950,142,54847,37880,4214,4481,5029,405,65,143,2630,52562,39410,3228,3870,5173,770,15,53179,39108,3570,3921,5425,1014,44,29649,11807,17262,28078,10167,17210,29137,10157,16300,28536,9065,17723,25784,12058,11438,25415,10164,15251,29605,11728,16412,34604,14379,19424,34399,14455,18469
31,31,70780,59078,7499,2219,958,1552,85,73133,58650,8780,2832,1819,2069,85,74249,57518,9799,2881,1331,3033,116,74991,60034,8826,3101,1949,1450,110,76223,59371,10433,3780,1695,1689,47,52354,45446,4296,1188,622,978,45,52910,45484,4200,1594,632,920,63,55620,45120,5923,1709,836,2017,69,55620,45120,5923,1199,617,387,16,153,2205,54475,46955,4108,1763,625,974,79,55359,46870,5007,2090,635,750,20,31879,11965,19149,29671,10221,18663,31671,9840,19107,31264,8505,20853,28610,12583,13083,28078,10057,18021,32215,11326,19261,37324,13470,22972,37159,13839,21509
32,32,79622,69663,5104,1912,935,2410,88,76901,65261,6186,2466,1105,2583,138,75319,61425,6305,2116,1047,4260,290,76768,65015,6194,2639,1063,2487,168,75810,63712,6279,2491,1115,2813,73,59411,53295,2986,1144,622,1537,51,57177,50397,3354,1231,563,1550,23,57043,48049,3829,1262,717,2923,184,57043,48049,3829,906,542,761,116,137,2703,57446,50698,3261,1286,612,1547,23,56879,50141,3237,1239,675,1526,4,33027,11077,20814,29364,9001,19598,30381,7315,21060,30180,6963,21256,25210,9242,13045,24947,7274,17673,29275,7997,19970,34113,9008,24389,34066,9738,22434
33,33,79215,68743,7557,1774,392,1128,57,75616,63737,8359,1924,596,1456,126,73477,60161,8793,1851,530,2189,125,74760,62656,8369,2005,775,1422,161,73544,60765,8585,1888,684,2349,48,60992,54552,4378,1210,262,763,35,56435,50675,3430,1208,302,787,60,56800,47995,5498,1310,347,1567,62,56800,47995,5498,995,205,250,14,141,1702,56206,50075,3659,1264,343,836,60,55775,48900,4302,1258,296,984,4,34649,9279,23970,31453,7201,23649,31372,5532,24003,31293,4192,25520,26390,8312,14856,26063,5486,20577,29681,5884,22730,33914,6883,26388,33784,7378,24896
34,34,77230,67637,5527,2709,567,1159,56,74729,63724,6468,3039,621,1526,32,73596,60959,6526,3011,725,2457,139,74087,62903,6552,2939,751,1500,135,73331,61583,6806,2608,757,1912,314,59002,52960,3273,1753,363,824,31,56545,50340,3212,1803,305,801,4,57229,48665,4187,1977,480,1843,98,57229,48665,4187,1485,302,373,35,135,2047,56365,49901,3428,1763,346,812,74,56060,49210,3987,1540,355,933,39,32920,11438,20490,29967,9300,19887,29796,7722,19893,29859,6297,21715,25772,10086,12811,25436,7740,17696,29515,8518,19645,34232,9929,23587,34185,10425,22143
35,35,59943,50436,2112,2181,4962,354,76,69731,56920,3256,2336,6737,647,92,73789,56927,3615,3223,8207,1438,146,70161,56654,3029,2596,7168,692,67,72867,58577,3189,3100,6841,797,105,40657,34694,1243,1358,3161,228,46,47783,40840,1588,1397,3429,358,14,53340,42185,2304,2072,5491,989,82,53340,42185,2304,1685,5054,90,25,210,1787,48450,41068,1505,1475,3838,432,23,50940,43480,1749,1667,3488,486,19,30703,11642,18764,31522,10134,20888,35602,13912,18656,34964,11618,21804,33013,16234,14518,32654,14419,18235,37283,16230,19513,43818,21037,22001,43875,20186,21993
36,36,76234,73144,1490,598,394,699,55,72520,68249,2069,1114,391,724,106,71799,66309,2127,1061,553,1549,144,71568,67009,2045,1263,388,831,179,71330,65813,2383,1140,449,995,292,59180,57390,838,278,232,475,28,55796,53539,932,576,173,571,52,55639,52117,1256,541,342,1101,81,55639,52117,1256,310,199,196,19,77,1465,55184,52773,1050,505,178,697,40,54732,51910,1342,543,204,699,34,38756,8927,28212,35756,7109,27840,35338,5523,27820,35145,4127,29314,29076,8738,17087,28816,5501,23315,33093,5753,26200,37982,6639,30589,37784,7147,28736
37,37,61360,51585,4901,2679,1588,764,76,69743,56922,6516,4378,1462,866,32,71781,55364,7336,4288,2213,2315,159,68942,56184,5980,4738,1509,770,125,71056,56840,6320,4846,2112,1290,113,43096,37212,2881,1571,1003,485,37,47014,41345,2300,2004,657,637,0,50810,40655,4366,2525,1375,1551,93,50810,40655,4366,2115,1108,213,38,211,2104,47279,41198,2006,2630,706,551,0,49155,42221,2702,2433,1030,720,0,26316,10289,15546,26510,9100,16763,28865,9511,16630,28349,8369,17157,25587,11361,12056,25325,10469,14856,29904,11371,16748,35897,14443,20488,35812,14220,19394
38,38,75768,38720,33272,2011,1422,1201,158,74667,34552,35813,2402,1405,990,162,73453,31857,37126,2367,1325,2737,124,73628,33813,35589,2508,1366,1234,94,73374,32431,36724,2700,1360,1794,122,52467,30254,19684,1223,967,717,110,40650,26575,11844,1141,620,439,20,51418,25192,23056,1505,947,1754,72,51418,25192,23056,1190,778,179,6,91,926,40865,26100,12260,1377,664,477,20,41965,25119,14261,1338,685,498,0,22516,6011,15743,20678,5240,15082,19918,4739,14106,19428,3592,14811,16981,5269,9434,16666,4492,12174,18894,4802,13395,21844,5949,15510,21625,6047,14483
39,39,72631,41805,27448,1405,1577,1145,84,70920,37493,29418,1917,1924,846,163,72519,35203,31750,2291,2020,2268,192,70058,36455,29303,2010,2064,1152,240,72096,36437,30893,2477,2050,1587,190,50672,32380,16091,795,1040,743,46,42370,28780,11774,640,721,426,8,51812,27710,20236,1479,1368,1543,115,51812,27710,20236,1082,1157,254,18,148,1207,42736,28240,12150,893,992,501,8,43625,28445,12742,884,952,613,4,25347,5980,18588,22361,4872,17077,23139,4978,16906,22906,3695,18067,19099,5446,10643,18699,4579,14120,21885,5036,15948,25475,6427,18572,25231,6495,17471
