ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
23,23,38136,32603,4890,279,206,337,19,38472,31590,5620,697,436,401,27,39651,31874,5982,681,298,957,23,38571,31517,5647,670,446,464,11,39707,32211,5743,622,373,1342,19,27978,24765,2830,144,118,217,12,26281,24313,1337,197,236,158,19,29126,24419,3560,428,179,629,11,29126,24419,3560,326,103,83,1,55,579,26135,24256,1196,171,308,166,4,27452,24977,1687,142,270,358,8,16772,5872,10285,15994,5034,10960,17065,3956,12229,14861,4080,10227,14887,4476,10411,11670,0,11670,16689,4201,12163,20075,5067,14591,19009,3234,14703
24,24,37375,35575,1018,335,231,255,35,37589,34957,1468,596,208,452,21,38526,35165,1672,513,282,679,61,37559,34804,1505,691,192,512,43,38641,35570,1627,664,403,482,190,28678,27611,575,197,143,169,22,28564,27152,663,292,114,292,0,29586,27381,1059,309,199,466,33,29586,27381,1059,216,125,99,2,65,639,28596,27109,742,311,101,293,0,29338,27793,875,250,120,258,15,17542,5188,11795,16533,4292,12241,17307,3591,12758,14906,4051,10293,14910,4211,10699,12147,0,12147,16716,3958,12428,20039,4760,14813,19045,2959,15071
25,25,31395,29026,731,526,973,176,35,38772,35214,1055,863,1358,294,125,41582,36451,1494,1014,1945,529,40,40034,36241,1076,936,1354,268,152,41223,36878,1453,824,1670,224,0,23240,21819,462,269,607,94,15,28177,26592,550,298,560,97,65,31328,28039,896,581,1299,384,24,31328,28039,896,379,1103,47,7,52,805,29100,27401,533,383,558,82,85,30664,28628,849,356,667,137,0,18280,7728,10308,18854,7331,11523,20228,8109,11058,19812,9198,10085,19703,9311,10392,14062,0,14062,21365,9090,11807,26164,12259,13443,22974,6406,15463
26,26,39103,33485,2243,1799,1267,534,61,39659,32375,2714,1758,2364,820,38,40127,30958,3598,2757,1818,1144,80,39608,32369,2517,2260,2043,820,20,40718,32469,2967,2300,2393,916,41,30817,27339,1361,955,912,315,40,29945,26353,1245,913,1055,336,6,31534,25503,2297,1577,1367,712,50,31534,25503,2297,1165,1114,165,22,122,1146,29676,25965,1298,1189,842,331,6,30461,25969,1711,1292,1053,373,7,16784,9304,7182,13303,7230,6073,16386,7984,7061,13872,7950,5346,13797,8138,5659,9042,0,9042,15436,8158,6725,18511,10201,7750,16484,6501,8842
27,27,36236,27610,3707,2602,1946,717,42,39949,29304,4554,3222,2498,891,78,41511,28720,5631,3652,2636,1266,81,39408,28199,4801,3110,2654,945,85,40983,29208,5532,3039,2630,898,196,27438,21926,2292,1573,1334,459,26,28360,23137,1655,1785,1209,540,4,31725,23005,3680,2409,1908,864,49,31725,23005,3680,2040,1596,291,21,92,1000,27695,22469,1661,1744,1272,544,15,28860,23296,2269,1672,1147,416,45,12350,6707,5437,13536,6997,6539,14185,6739,6501,11480,6226,4769,11425,6471,4954,7601,0,7601,13196,6646,6116,16318,8587,7321,14600,5435,8195
28,28,37824,29631,3143,2737,1752,900,62,39071,30009,2922,3232,2502,670,83,39692,28410,4127,3563,2454,1434,85,40257,30784,3105,3307,2639,588,101,38808,30096,3611,2844,1852,594,105,29975,24506,2014,1724,1291,573,38,29334,24893,1345,1742,848,385,65,31436,23804,2701,2302,1720,961,69,31436,23804,2701,1795,1466,247,30,128,1265,30207,25666,1376,1678,991,339,20,29716,25700,1355,1373,925,244,25,17259,10733,6211,16491,10403,6088,15947,9539,5104,14637,9736,4343,14586,10014,4572,7913,0,7913,15339,9676,5143,17942,11880,5633,14510,6835,6661
29,29,39801,35457,1636,1531,904,453,71,41286,34658,2691,2552,1135,692,24,40661,33630,2664,2141,1266,985,100,40903,34216,2446,2630,1249,730,222,40314,33428,2520,2566,1552,525,200,31390,28735,1016,756,639,283,45,31227,27769,1447,1136,570,221,0,31944,27401,1690,1186,893,635,79,31944,27401,1690,860,664,145,32,131,1021,31175,27783,1279,1178,468,235,0,30631,27276,1379,1015,619,179,0,21142,11514,9285,18933,10336,8597,20319,10788,8001,17861,10827,6315,17759,11149,6610,10603,0,10603,18986,10811,7522,22000,13327,8133,18386,7653,9516
30,30,38440,36256,725,402,783,329,25,40681,37542,1020,695,1104,293,73,41576,37464,1338,797,1103,722,45,40732,37047,1242,765,1289,395,61,41214,37392,1276,639,1130,624,9,28714,27462,392,181,486,194,14,29841,28328,412,333,527,200,0,31287,28813,731,406,731,442,26,31287,28813,731,258,626,71,2,48,738,29713,27855,541,316,670,286,0,30593,28686,583,270,638,396,0,19025,8266,10318,19143,7881,11262,20265,7347,11772,17373,7280,9425,17345,7428,9917,12692,0,12692,19285,7292,11523,23023,9023,13541,21120,5321,14599
31,31,38669,34979,1202,579,1718,260,47,41658,36225,1804,1192,2074,305,88,41179,34481,2231,1189,2417,630,70,41019,35089,2059,1312,2126,314,85,41127,33779,2958,1469,2229,555,76,26479,24374,646,296,1033,136,17,28896,26464,842,572,838,159,25,29953,25810,1337,643,1575,388,44,29953,25810,1337,436,1336,41,25,80,888,28265,25816,888,654,725,159,15,28370,25295,1212,842,727,250,0,18728,7445,11078,17996,6867,11129,20877,7860,11796,17750,7123,10117,17736,7454,10282,13309,0,13309,19807,7707,11556,23555,10623,12500,21272,5730,14293
32,32,38964,34549,3487,329,391,290,39,38406,32784,4321,817,437,488,14,39124,32331,4970,415,497,933,106,38182,32334,4420,581,648,504,8,38666,32309,4697,657,581,702,33,29714,27080,2048,180,251,190,28,28332,26149,1589,274,194,149,15,29566,25406,2972,220,344,589,62,29566,25406,2972,150,284,84,24,55,591,28239,25879,1548,214,391,257,0,28392,25860,1737,207,289,366,0,18055,7169,10215,16962,5969,10993,17893,4680,12172,15080,4968,9413,15126,5203,9923,11830,0,11830,16845,4901,11604,19836,5611,13778,18906,3654,14186
33,33,40825,36744,2882,422,553,313,38,40958,35800,3803,547,573,360,54,40614,34325,4200,579,619,814,76,40913,35609,3945,509,583,363,46,40390,34587,4212,580,554,373,23,30957,28543,1690,212,355,208,25,29877,27962,1274,185,242,255,4,30891,26935,2550,311,433,520,36,30891,26935,2550,200,352,104,10,50,690,29843,27816,1426,160,223,259,4,28950,27097,1288,78,245,260,4,18047,5892,11691,16789,4932,11857,18302,4042,13316,14325,4116,9676,14310,3984,10326,11709,0,11709,16396,3994,12045,19859,5085,14358,18443,3118,14085
34,34,34534,32239,1666,200,275,214,29,36864,32903,2825,376,306,508,13,38230,33208,3238,618,491,754,35,36802,32680,2909,365,420,479,17,37082,32163,3578,423,480,553,2,25753,24508,898,87,147,137,19,27064,25364,1127,118,126,319,12,28585,25656,1878,275,291,464,18,28585,25656,1878,195,215,77,0,40,524,27236,25457,1122,155,202,296,19,27340,25422,1316,144,270,244,4,16719,5000,11263,14978,4163,10815,17852,3581,13441,15037,3735,10757,15059,3781,11278,12080,0,12080,17004,3766,12890,20469,4723,15360,19204,2998,14999
35,35,37777,23737,12009,1173,642,688,143,37532,20738,14173,1756,715,381,230,38312,19131,16092,1932,629,1462,60,37491,20274,14568,1853,808,416,241,38500,20288,15310,2031,754,505,293,27250,18993,7001,712,420,358,87,22883,16644,4744,754,451,193,112,27646,15501,10112,1202,467,943,54,27646,15501,10112,974,361,113,23,76,486,22383,16088,4825,784,474,144,101,23132,16091,5446,898,428,163,45,11387,4681,6364,11459,4681,6778,10974,3830,6508,7888,3117,4410,7859,3146,4713,5909,0,5909,9492,3437,5816,12002,4454,7265,11242,3140,7321
