ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
55,55,24485,17876,2977,3005,341,786,46,23080,16893,2985,2128,499,979,76,23517,15963,3495,2943,348,1244,77,23536,17393,2887,2209,510,811,36,23784,17785,2911,2231,423,502,53,18735,14533,1755,1913,245,513,31,17881,14070,1546,1538,141,533,0,18308,13260,2186,1905,259,856,50,18308,13260,2186,1492,145,185,24,101,915,18016,14416,1455,1458,123,502,0,18130,14810,1548,1275,164,322,4,10763,6278,4234,9286,5499,3501,9176,4999,3132,9050,4704,3817,8394,5709,2074,8297,4571,3726,9110,5362,3249,9912,6135,3485,9938,6075,3275
56,56,23338,18164,1734,2622,601,552,48,24535,18790,2300,2344,620,706,28,23535,16678,2457,3193,610,1012,67,24320,17428,2644,3147,617,712,68,25644,17799,2905,3614,775,857,80,18154,14752,1075,1701,426,350,24,18700,15299,1197,1376,344,438,0,18373,13819,1506,2050,443,709,36,18373,13819,1506,1604,323,146,15,54,906,18240,14663,1231,1577,313,462,4,19294,15185,1363,1974,376,387,4,11454,5733,5517,10345,5138,4994,10561,4836,4720,10394,4419,5516,9590,5700,3096,9509,4152,5357,10552,5276,4743,11662,6267,5061,11624,6269,4699
57,57,24311,14786,5720,3252,184,1002,34,22738,12411,6293,3495,140,978,24,23487,13518,5838,3150,228,1366,78,23519,13503,5976,3543,189,673,29,23615,13775,5752,3528,207,831,62,17792,11806,3432,2060,123,634,20,16134,10230,3028,2346,41,553,0,17858,11146,3796,2079,146,946,47,17858,11146,3796,1698,87,243,28,56,804,17029,11188,2989,2382,65,479,0,17270,11280,2839,2468,31,633,0,8214,4788,3223,7003,4218,2594,6853,3435,2767,6755,3280,3110,6169,3856,1686,6108,3251,2857,6856,3735,2744,7761,4339,3215,7723,4305,2856
58,58,24270,12997,4614,6331,254,930,39,23678,11844,5821,5592,151,648,119,23516,11054,6177,5488,339,1308,54,22713,11494,5706,5179,206,631,160,22961,11010,6301,5325,342,630,134,17069,10256,2555,3875,152,570,27,16109,9619,2670,3467,72,309,35,17051,8951,3706,3624,233,925,37,17051,8951,3706,3037,145,192,16,49,955,15528,9240,2618,3276,93,367,45,15506,9069,2715,3323,135,180,0,9443,5818,3436,8320,5188,2961,7671,4349,2666,7549,4120,3086,6858,4644,1649,6803,3911,2892,7636,4618,2658,8587,5389,2991,8537,5289,2686
59,59,22924,20999,847,527,146,531,11,22498,20470,895,550,198,497,8,22916,20020,1057,630,192,935,27,22620,20474,1000,574,252,438,7,22819,20454,979,623,173,466,11,17021,15883,481,289,90,323,4,16939,15717,481,294,131,296,0,17604,15631,709,392,138,674,17,17604,15631,709,244,76,141,4,39,760,17100,15785,545,305,141,310,0,17235,16019,449,347,68,347,0,10417,3918,6233,9649,3266,6101,9629,2541,6304,9528,2390,6530,8184,3323,4147,8074,2574,5500,9448,2858,6126,10914,3257,7386,10831,3250,6832
60,60,23546,17048,4613,959,827,375,26,23985,16785,5274,931,981,410,33,22790,15405,5158,854,648,773,25,23895,16307,5597,1086,1020,658,23,23034,15698,5307,946,924,675,0,18335,14114,2749,667,663,260,16,17078,13662,2332,552,286,272,0,17962,12803,3430,606,498,572,18,17962,12803,3430,450,418,76,3,169,613,17323,13563,2592,652,331,257,0,16756,13152,2342,701,330,320,0,8830,4300,4307,7991,3657,4143,8277,3484,4034,8292,2798,5074,7397,4182,2357,7310,3404,3906,8316,3836,4041,9456,4605,4572,9425,4645,4244
61,61,20760,17801,1035,565,230,1302,39,22486,19075,1505,705,181,1267,27,23108,18332,1729,858,365,1939,79,22951,19433,1523,688,262,1241,23,23012,19237,1704,824,231,1011,15,14615,12914,545,237,132,837,15,16012,14232,674,305,84,714,15,16689,13764,976,509,220,1217,46,16689,13764,976,366,124,654,32,55,718,16289,14379,642,301,126,794,12,16320,14389,651,492,61,634,0,9252,2848,5973,8408,2414,5682,9040,2082,6314,9027,1765,6865,8316,2950,4439,8236,2153,6083,9210,2444,6398,10871,3020,7583,10839,3089,7169
62,62,23591,21494,464,312,98,1336,21,23386,21014,735,388,160,1309,10,23099,20342,682,397,186,1521,61,23242,20809,762,402,108,1343,11,23296,20554,802,518,130,1478,0,17513,16213,251,181,70,843,8,17233,15811,400,191,65,797,5,17300,15565,377,217,110,980,44,17300,15565,377,130,59,602,17,31,519,17137,15707,394,179,47,815,6,17095,15644,388,205,70,833,0,11810,3311,8005,10646,2523,7899,10781,1914,8247,10805,1738,8643,9462,3070,5235,9354,1950,7404,10428,2141,7934,12045,2430,9369,11995,2723,8697
63,63,24869,22434,548,1387,128,426,21,23952,21274,709,1593,189,347,16,23858,20539,787,1530,223,640,71,23826,21105,715,1444,237,371,94,23810,20845,755,1387,278,353,125,19001,17442,327,865,81,301,19,18550,16715,476,1044,142,184,0,18605,16292,567,1024,165,461,42,18605,16292,567,847,100,124,17,34,624,18430,16630,471,964,118,241,0,18585,16710,430,940,118,277,0,10863,4356,6163,10077,3469,6331,9953,2576,6655,9809,2519,6833,8071,3196,4257,7899,2660,5239,9525,2794,6349,11149,3045,7882,11061,3106,7215
64,64,22901,20392,1009,971,315,302,61,22898,20111,1380,823,372,366,51,23186,18671,1831,1565,599,537,58,21966,18926,1323,975,372,483,57,21843,18738,919,1209,432,297,78,17218,15664,566,614,202,190,31,17604,15638,898,633,194,236,17,18757,15026,1514,1331,492,376,33,18757,15026,1514,1200,385,107,15,41,469,17474,14966,1087,827,240,336,22,17477,15044,789,1075,267,270,7,9167,2410,6454,8623,2084,6354,8726,1781,6355,8756,1237,7149,7566,2594,4074,7468,1705,5763,8477,1922,6214,9673,2299,7122,9631,2399,6729
